TF,Target,score
4633,3007,0.7614766359329224
15004,13362,0.7614434957504272
12778,9798,0.7614009380340576
6136,17192,0.7613087892532349
11783,13582,0.7610809803009033
15004,7315,0.7606949210166931
6136,12325,0.7606449127197266
12778,745,0.7604793310165405
12745,12478,0.7604442238807678
15004,7108,0.7604339122772217
6136,9798,0.760314404964447
12778,4534,0.7602658271789551
15004,16491,0.7601680755615234
15004,3350,0.7600818872451782
6042,13362,0.7600414156913757
4633,17192,0.7600376605987549
4633,12325,0.7598434686660767
11783,12691,0.7597441673278809
6042,7315,0.7595939636230469
6042,3350,0.7595129609107971
17009,7527,0.7593957781791687
12745,13362,0.7593326568603516
6042,16491,0.7592000365257263
15004,420,0.7591496109962463
12745,7315,0.7590937614440918
6136,745,0.7590343952178955
6042,7108,0.7589695453643799
4633,9798,0.7588375806808472
15004,10119,0.7587352395057678
15004,337,0.7586925029754639
6136,4534,0.7586421370506287
15180,13582,0.7586313486099243
15137,7527,0.7585738301277161
12745,16491,0.7585631012916565
17009,8908,0.758517861366272
15004,3644,0.7584976553916931
17009,11777,0.7581547498703003
15137,15160,0.7581533789634705
12778,1030,0.7581208944320679
15137,8908,0.7581115365028381
6042,10119,0.758001446723938
15137,11777,0.7579541802406311
12745,7108,0.7579416036605835
12778,11724,0.7578918933868408
6042,420,0.7578138709068298
4633,745,0.7577865719795227
10385,10958,0.7577469944953918
10385,10867,0.7577465772628784
17009,15160,0.7577449679374695
7941,13582,0.7576079964637756
12745,337,0.7575669288635254
12778,6311,0.7574713230133057
4633,4534,0.7573804259300232
15004,13769,0.7572707533836365
15233,13582,0.757240355014801
12745,3350,0.7572285532951355
6042,3644,0.7571763396263123
15180,12691,0.757174551486969
12778,9597,0.7571321129798889
6042,337,0.7570817470550537
12745,420,0.7569952607154846
12745,11602,0.7569481134414673
12745,10119,0.7568897604942322
15004,11602,0.7568186521530151
15004,11887,0.7567625045776367
6136,1030,0.7564892768859863
15137,3007,0.756408154964447
15004,1548,0.7562179565429688
6136,11724,0.7561994194984436
12745,3644,0.7561942338943481
6042,13769,0.756170392036438
11783,10958,0.7560896277427673
12745,13769,0.756057620048523
15004,6626,0.755851686000824
7941,12691,0.755742609500885
15233,12691,0.7556987404823303
6136,6311,0.7556928992271423
15004,14604,0.7556354403495789
11783,10867,0.7556348443031311
10385,7527,0.7555009126663208
17009,3007,0.7554988861083984
4633,1030,0.7554304599761963
6042,11887,0.7554154992103577
12778,14890,0.755271315574646
6136,9597,0.7552517056465149
17009,17192,0.7552036046981812
6042,1548,0.7550934553146362
4633,11724,0.755069375038147
15137,17192,0.7550112009048462
12745,11887,0.7548648118972778
12778,7797,0.7548204660415649
12745,1548,0.7545647621154785
6042,11602,0.7545596361160278
10385,8908,0.7545585632324219
15004,8454,0.7545369863510132
6042,14604,0.7544218897819519
17009,12325,0.7544024586677551
15004,1266,0.7542906403541565
6042,6626,0.7542696595191956
4633,9597,0.7542560696601868
10385,11777,0.7542327046394348
15004,9255,0.7542197704315186
4633,6311,0.754113495349884
15004,14420,0.7540524005889893
12745,14604,0.7539851665496826
11783,7527,0.7539711594581604
17009,9798,0.7538020610809326
15004,9768,0.753789484500885
10385,15160,0.7537708282470703
12745,6626,0.7536817193031311
14623,13582,0.7534717321395874
6136,14890,0.7534303069114685
15180,10958,0.7533425688743591
15180,10867,0.7532071471214294
15137,12325,0.753178596496582
15004,4254,0.7531341910362244
6136,7797,0.7530794143676758
6042,1266,0.7530003786087036
6042,14420,0.7529062628746033
15004,6301,0.7528936266899109
6042,8454,0.7528149485588074
11783,8908,0.7527722716331482
6042,9255,0.7527645826339722
15004,1389,0.7527568340301514
15004,3158,0.7527567744255066
6042,9768,0.7526749968528748
17009,745,0.7526324391365051
7941,10867,0.752549409866333
15004,6944,0.7524836659431458
4633,14890,0.7524828910827637
11783,11777,0.7524362206459045
15137,9798,0.7524138689041138
12745,14420,0.7523940205574036
12745,8454,0.7523776292800903
15004,11850,0.752315878868103
12745,9255,0.7522374987602234
12745,1266,0.7521635890007019
12778,12478,0.7521578073501587
17009,4534,0.7520737648010254
15004,12089,0.7520528435707092
15004,13195,0.7519413828849792
15004,5150,0.7519407272338867
14623,12691,0.7519062757492065
15137,745,0.751867413520813
12745,9768,0.7518669366836548
15137,4534,0.7518442869186401
15233,10958,0.751828134059906
11783,15160,0.751784086227417
4633,7797,0.7517748475074768
15233,10867,0.7516949772834778
10385,3007,0.7516674995422363
6042,6301,0.7516424655914307
9896,13582,0.7515847086906433
7941,10958,0.7515636086463928
15004,12535,0.7515289187431335
15004,6722,0.7514930963516235
15004,4005,0.7514749765396118
6042,4254,0.7514446377754211
15004,11257,0.7513816356658936
