gene,R_score
741,5.948088610874711e-07
154,5.943924798442344e-07
9156,5.922592322633051e-07
10121,5.896314842201344e-07
10400,5.871443849448166e-07
6613,5.857527758112906e-07
11537,5.855751698192699e-07
11315,5.829345178385625e-07
14432,5.804555365208334e-07
17043,5.784613853072643e-07
6888,5.776350627856819e-07
6942,5.772568829509973e-07
2768,5.747607151899618e-07
13200,5.685990615746499e-07
17536,5.628540870490507e-07
11229,5.626480612305509e-07
15771,5.626480612305509e-07
11162,5.615711575350273e-07
13556,5.589726721896825e-07
6691,5.585005988505133e-07
12148,5.585005988505133e-07
3637,5.575628673907718e-07
14473,5.565531186228549e-07
3660,5.565531186228549e-07
6233,5.513653574635582e-07
10528,5.503388010307389e-07
4398,5.483465887840847e-07
2408,5.480897409287086e-07
13432,5.464126806882637e-07
16655,5.456756412198634e-07
10279,5.45352321306957e-07
17475,5.42134581136418e-07
15427,5.393606420748114e-07
11827,5.389700271640439e-07
7348,5.372148047544007e-07
14159,5.305067662794112e-07
1532,5.268104664572394e-07
5497,5.25600899847387e-07
7946,5.246170627095041e-07
6910,5.203009377703388e-07
1463,5.146063267807791e-07
6886,5.145910940736607e-07
13563,5.139462779651668e-07
7795,5.106537896576497e-07
13584,5.088172415210504e-07
9154,5.0568496775176e-07
12551,5.047134435816731e-07
8939,5.039276733320943e-07
3087,5.014856524967242e-07
11185,4.98439576166519e-07
10110,4.947289746548276e-07
5123,4.942225268684071e-07
7341,4.899921342977337e-07
16052,4.84890493125301e-07
10775,4.844014490286252e-07
11715,4.838521272691627e-07
16910,4.829787254606095e-07
9401,4.817762200860039e-07
14430,4.791189177359759e-07
7326,4.749929369865168e-07
13035,4.744792407146109e-07
8127,4.7330660303309856e-07
4810,4.6736561884170857e-07
13626,4.6676096109609724e-07
14333,4.6541494880840775e-07
11123,4.6423409646390587e-07
3088,4.5867315312676956e-07
6763,4.5429984139484043e-07
8869,4.4851252892409134e-07
4152,4.4612713572836355e-07
2699,4.4612713572836355e-07
856,4.4134719817628314e-07
1460,4.410849698958866e-07
